tiempo_ps,temperatura_K,energia_potencial_kJ,densidad_g_mL,rmsd_CA_A,d_PG_O6_A,d_PG_O3B_A,d_O6_OD1asp205_A,d_O6_OD2asp205_A,d_Mg_PG_A,d_NZlys169_O6_A
439.99999999590494,300.7007088433712,-751777.0128732128,1.0322427506631144,1.1204171,3.5513866,1.5376009,4.6268597,4.842242,2.545556,4.208605
449.9999999956685,299.7666449254753,-750196.1934869476,1.0296659355230326,1.0892667,3.5624704,1.5915663,4.3359847,4.7400393,2.5164306,3.9248118
459.999999995432,300.3693116777942,-749544.8141348665,1.0288725031011392,1.032963,3.3342054,1.5202978,3.8962638,4.5024543,2.5071416,4.296714
469.99999999519554,301.56411811421333,-751339.7200680417,1.032081355109725,1.1566443,3.4991314,1.5158753,4.237041,4.560871,2.567929,3.6668694
479.99999999495907,302.0143162478566,-750097.7888056235,1.0302368101135602,1.0727512,3.4416046,1.5431821,4.6052327,4.8509912,2.6355073,4.06502
489.9999999947226,300.07015958604046,-751483.5524027692,1.0309533536805582,1.1852554,3.3310413,1.5582523,4.1680646,4.9132314,2.5674546,3.9760466
499.99999999448613,301.2210242061711,-751293.3774490063,1.0303464414110322,1.0769536,3.4665332,1.5647787,4.2710032,4.5083065,2.516425,4.183451
509.99999999424966,302.5936211280624,-749858.0132518695,1.0314346711179605,1.0467707,3.2020748,1.5704085,4.0832424,4.581463,2.5763583,4.259543
519.9999999940133,298.4572104128964,-750919.7975370418,1.0295576210071722,1.1579918,3.2967038,1.5454726,3.8440788,4.6030107,2.494092,4.004237
529.9999999937768,299.7432830533622,-749768.5144978389,1.030412882653254,1.1591058,3.8220537,1.6053903,4.6117425,4.9610624,2.4895527,4.0482626
539.9999999935403,299.4680934772535,-751613.0319558727,1.030464848793584,1.0970392,3.453402,1.5341784,4.4048123,4.738287,2.5204456,3.9245577
549.9999999933038,301.4502803584905,-750271.6239727843,1.027429789413288,1.181165,3.4555588,1.548245,4.508319,4.8103576,2.5787601,3.7524571
559.9999999930674,299.7294366393087,-749437.2020105519,1.029842409016556,1.1212807,3.518402,1.5492207,4.270245,4.4202795,2.5567837,3.4617085
569.9999999928309,299.11124799361016,-749535.0708038649,1.0291911255830406,1.1779282,3.35626,1.5465497,3.8760257,4.64721,2.6179829,4.3928366
579.9999999925944,301.18577591468795,-749724.1136077335,1.0297962250307864,1.2534797,3.1862507,1.6153824,3.9588616,4.6194596,2.5475445,4.423498
589.999999992358,297.2602543048891,-749463.6948073353,1.029896045703144,1.3684971,3.3852506,1.5459223,4.1115084,4.6089225,2.5548637,3.8125153
599.9999999921215,298.7351186913079,-752228.2513359818,1.0325488337520403,1.2265052,3.4337888,1.556215,4.3235955,4.9145093,2.5628803,4.016262
609.999999991885,300.13329038253545,-749036.4190882607,1.0312364840062989,1.1999102,3.4872339,1.5016336,4.355565,4.7582383,2.565094,4.241434
619.9999999916486,301.53914398840914,-748786.2251485321,1.02834285049451,1.2238277,3.4235272,1.5180117,4.606437,4.925681,2.567109,4.1513343
629.9999999914121,298.2185652537873,-750088.795324883,1.0265145168709968,1.1395481,3.3786178,1.5271726,4.3245583,4.8993597,2.5378423,4.2825103
639.9999999911756,301.172435305714,-750846.9373406745,1.0312331885297532,1.1687158,3.5967388,1.5059338,4.2310057,4.95846,2.6028714,3.75167
649.9999999909389,299.25786824105325,-751944.829182094,1.029399255376196,1.1326848,3.334962,1.5407488,4.074166,4.758719,2.5708807,4.1201215
659.9999999907027,301.01203186985236,-749875.4908244712,1.0303593406444869,1.2545948,3.4181628,1.510844,4.3990297,4.75851,2.5724874,4.209352
669.9999999904662,299.8123886723597,-750755.9355900614,1.033023408147596,1.2301826,3.4091024,1.5371966,4.1446247,4.7426076,2.5442562,4.0509953
679.9999999902298,298.77710051291297,-750832.4095292334,1.0287303008075823,1.1293567,3.5108113,1.5606887,4.4593782,4.8393154,2.6077495,4.3179293
689.9999999899933,300.30953183995143,-750623.2148475633,1.0305904530140793,1.0998298,3.4425268,1.4860673,4.1738772,4.637009,2.6042805,3.7740004
699.9999999897568,300.3212918080516,-751232.2542036222,1.0344115339137243,1.168762,3.4727473,1.5825453,4.2718115,4.9440937,2.5602136,4.168519
709.9999999895201,300.26517905703577,-749728.5481052124,1.0307700283917574,1.0729016,3.3964465,1.588003,4.5047326,5.1387243,2.5020516,3.3618255
719.9999999892839,298.5349779438818,-750559.0485811392,1.029454882966718,0.9975276,3.455978,1.511855,4.4757814,4.702796,2.4797843,3.929985
729.9999999890474,297.52371552571503,-752327.1679173014,1.032266214779216,1.1364293,3.4446049,1.5601456,4.3798943,4.738487,2.6046405,4.0720143
739.9999999888109,298.87197057815155,-750364.0192398923,1.0317451976520204,1.1280227,3.607694,1.5559943,4.395937,4.4666157,2.5563967,3.751791
749.9999999885745,298.83476229198504,-751248.1045167195,1.033771411488298,1.2901388,3.5177243,1.5941322,4.1201134,4.90842,2.620656,4.3817425
759.9999999883382,301.35272320376663,-749997.5071884077,1.0287471385396842,1.1369025,3.4216082,1.5549923,4.0134315,4.4382772,2.5656729,4.2388453
769.9999999881015,301.6555739951648,-750171.4686763226,1.031359982881065,1.0690353,3.4896426,1.5602567,3.9941742,4.485682,2.5832927,4.2124243
779.9999999878648,300.5297151136558,-751288.0616470622,1.0328176706123933,1.1068481,3.600006,1.5438796,4.3135004,4.4805374,2.5625181,3.998791
789.9999999876286,300.0091784611336,-750527.2453158246,1.0321194497245632,1.0492849,3.3947392,1.5788486,3.839951,4.3039074,2.5395415,4.1801314
799.9999999873921,299.411538146793,-750665.4152052645,1.0324556861084504,1.0509748,3.5811927,1.5142499,4.3282146,4.918184,2.5501757,3.5577939
809.9999999871557,300.4960158502289,-750395.4286813997,1.0278160551409607,1.1092262,3.4081116,1.5369446,4.0719604,4.654486,2.5142682,3.8790326
819.9999999869192,300.63052838857953,-749690.2057363149,1.0284726245439346,1.098264,3.495456,1.5629399,4.4439116,4.956233,2.624643,4.112505
829.9999999866827,300.20274374252523,-749984.431073246,1.0326419450237512,1.1676111,3.5233006,1.5387206,4.00574,4.6672006,2.6037452,3.867878
839.9999999864463,301.79745231998686,-750186.4704689933,1.0313208209556717,1.1008072,3.449172,1.4865218,4.294482,4.971933,2.5949788,4.099247
849.9999999862098,298.75199993583885,-750956.4292900772,1.030945908908932,1.1857997,3.3624985,1.5190442,4.322797,5.001354,2.5409636,4.1931334
859.9999999859733,300.7672538241534,-750280.4687685082,1.0328258148531444,1.1413871,3.363565,1.5415919,4.731085,5.215506,2.6044168,3.8938773
869.9999999857368,299.6406678478425,-750926.6298139412,1.0307590520946466,1.1387929,3.4650898,1.5381346,4.218994,4.6444283,2.5812123,3.8603244
879.9999999855004,302.0270878261159,-748502.003531653,1.0308062667149154,1.0938483,3.3309176,1.5613303,4.307608,5.0605226,2.5826967,3.7549763
889.9999999852639,300.8368652482305,-751389.0809489344,1.0306119666779974,1.0886247,3.2969956,1.5279038,4.120566,4.8233085,2.5823717,3.7314544
